,dates,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,V1,V2,V3,V4,V5,V6,V7,V8,V9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
0,1986-01-06 13:00:00,,104.33771435499900,91.09222697512680,75.31202357090550,,45.34824829965000,42.926477338335400,,,,2.893466508460450,5.589867146400480,3.1480886354738800,3.7266011940549600,-4.994215741849390,-14.821481400363900,2.3210675511605000,53.44648309596700,29.911089461533500,,,31.472728975780300,46.9181729168906,72.07250564267860,98.34877119245450,121.9624904686030,81.44483175654700,52.37759232971280,79.12619207554540,65.82669801740330,64.536004903256,73.89004957594630
1,1986-01-13 13:00:00,112.16481290995300,102.24515271511500,,,64.91481000117260,55.10908917874680,48.32412707896930,48.39596390571770,,39.910637562694100,46.644657753831500,39.55713384706190,31.749337145146500,29.725736824584800,18.82962290507330,,-7.325333703748750,83.51399798491630,64.43222724749450,64.6804026729771,82.2893161692071,64.505913656838,88.29147992142960,109.12793321508000,130.04927838875400,153.36699985127800,,66.56679368579470,87.58733261860030,79.75685899008600,,85.63345071251430
2,1986-01-29 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.77168310831290
3,1986-02-07 13:00:00,105.08537336254500,,80.59305316513170,67.98257074230330,47.28560353287270,,35.45642952263740,23.00710594566390,35.28444387887280,15.63499613651460,28.114394741711600,16.937234917585900,16.57954864248120,14.996597684009400,9.345455741901270,,-19.892055355543200,67.2996025061832,44.14493118591910,44.119420516910400,60.41610523026480,43.02491997629690,62.64163013698210,84.22890333932960,104.17487379321200,125.04307650233700,82.39042994447940,51.150336909771200,69.00609002598250,55.883718389176600,,66.86049643020310
4,1986-02-23 13:00:00,,,78.25083920809630,64.10862299977590,50.13912844211080,36.963241021405600,33.92822702121960,27.10889695155560,,,17.963403169602900,8.743598619395230,3.2609173175436500,5.053723519212970,,,,50.124021477850300,28.067461388814900,29.331399144422800,43.28072383307190,29.03998049074650,47.34623844165810,71.75418929701820,90.4164217472574,112.3956237857790,71.95801241361490,38.78583044776920,63.22729669585360,54.42714739292380,51.646681629663900,65.20487092888770
5,1986-03-02 13:00:00,80.39000860991410,80.42842912395590,,57.800470628812000,54.460299404529900,21.24164336300700,,23.47507241412660,22.765100543779500,0.008218762296836600,-29.210685521653300,-0.07706828903546900,2.0221020835402200,0.1270041995980670,-6.719309216680130,,-26.332440618039100,,,,,,,,,,,,,,,
6,1986-03-18 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-04-03 13:00:00,96.59623066829190,100.07353176514000,82.97114966717170,72.38893930306060,,35.39569645364800,37.29188146667280,38.06363721002000,37.12380540044790,15.713484461333100,18.487753166471700,10.043824992615200,6.193561091418760,2.6767285506634400,-3.905779797700110,-26.26618117867770,-23.06218962260310,45.440563478514000,33.13502795486950,39.27913777162800,,31.121262590738100,50.16367798129870,73.3857453667525,94.73199909336060,111.38083226342700,77.24413475972030,42.866860438526500,60.73362200115450,50.94951330961140,54.73139049523150,64.50038727166390
8,1986-05-14 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1987-01-09 13:00:00,112.63192540622700,,89.8566253444254,75.40415661458650,57.7331749695428,46.37848144400480,,30.67934096340210,38.5095342191742,16.68165033945230,19.11794317539150,15.996178677098700,14.522218087598400,11.24784867858750,-1.329112059484210,-23.5205275136362,-11.458904749844500,63.52960776370770,36.223706018758800,41.607169000123100,56.2422334693627,43.05803140149470,60.98715125294280,83.66835447167760,103.49496371673900,,,50.979495855050400,76.29742359774680,71.67650843174990,73.13076632027600,86.53549427084300
10,1987-01-16 13:00:00,105.47104286281700,,83.91365603360870,,49.28363857755150,39.43596077742990,40.350588487787100,36.99530829050460,,,8.15469111404047,10.429509858428100,9.805271234271360,9.668038039235520,-15.487380958691500,,-17.878498542253800,,,,,,56.911207767314700,77.49994847262400,95.89033553763630,,,,,,,
11,1987-04-22 13:00:00,103.50658008796200,101.88247013179000,84.02833444367430,66.88577215747060,,37.95225008710560,31.308934477422100,30.360299601538600,32.770922947846600,8.836588260850280,11.437193358185100,2.2195790401695200,0.00854593466424447,2.873909298725960,-3.3973507500111300,-25.224137543196300,-10.047422094334200,40.77518828916030,31.672919684722800,,,,,,,,,42.43108693304200,,,,
12,1987-05-24 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1987-06-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1987-06-25 13:00:00,,,,,,,,,,,,,,,,,,43.25818460001220,30.56014850270810,30.6697250537284,,,,,,,,,,,,
15,1987-07-20 13:00:00,91.3752632766166,91.74366743443800,78.81400987492120,74.51545861343970,,47.24800843464320,47.58679990208720,38.29794106830700,36.714906726199800,15.780785202440000,16.69307293374940,14.513856734291500,12.846875280932500,12.305803581410900,2.455546901919160,,-9.10437774356287,53.52980775851480,33.030209641118400,37.06424662721780,,,53.48526705652050,82.72549120948190,97.34894815405720,116.64866977764300,,41.57004435044390,61.754582256063600,55.358377139314400,61.52603306658010,64.698008565611
16,1987-07-27 13:00:00,89.89503113816290,91.03892026429070,82.21237954513530,69.92134760206220,57.136894057223800,49.33054731454590,45.794553325132400,37.78100426428750,,,,,,,,,,,,,,,,,,,,,,,,
